code,name,vintage,grower,colour,region,appellation,currency,tax,pack,size,lwin,bordeauxCode,productType,url,offer_price,offer_cs,offer_btl
CONS16B,"Chateau La Conseillante, Pomerol",2016,Chateau La Conseillante,Red,Bordeaux,Pomerol,GBP,IB,6,75,1008746,909737,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/cons-2016,168.33,1,0
SASS20B,"Sassicaia, Tenuta San Guido, Bolgheri",2020,Tenuta San Guido,Red,Tuscany,Bolgheri,GBP,IB,6,75,1102037,1502287,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sass-2020,169.17,1,0
SASS17B,"Sassicaia, Tenuta San Guido, Bolgheri",2017,Tenuta San Guido,Red,Tuscany,Bolgheri,GBP,IB,6,75,1102037,1502215,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sass-2017,175.0,1,0
SOLA14B,"Solaia, Toscana",2014,Antinori,Red,Tuscany,Toscana,GBP,IB,6,75,1095388,1502277,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sola-2014,205.0,1,0
LAMI16B,"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2016,Chateau La Mission Haut-Brion,Red,Bordeaux,Pessac-Leognan,GBP,IB,6,75,1013179,1396851,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lami-2016,206.67,1,0
PALM15B,"Chateau Palmer 3eme Cru Classe, Margaux",2015,Chateau Palmer,Red,Bordeaux,Margaux,GBP,IB,6,75,1013658,1396650,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/palm-2015,207.5,1,0
SASS15B,"Sassicaia, Tenuta San Guido, Bolgheri",2015,Tenuta San Guido,Red,Tuscany,Bolgheri,GBP,IB,6,75,1102037,1502230,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sass-2015,209.17,1,0
SASS21B,"Sassicaia, Tenuta San Guido, Bolgheri",2021,Tenuta San Guido,Red,Tuscany,Bolgheri,GBP,IB,6,75,1102037,1736911,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sass-2021,216.67,1,0
LANG08B,"Chateau Angelus, Saint-Emilion Grand Cru",2008,Chateau Angelus,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1006045,1396596,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lang-2008,220.0,1,0
SASS09B,"Sassicaia, Tenuta San Guido, Bolgheri",2009,Tenuta San Guido,Red,Tuscany,Bolgheri,GBP,IB,6,75,1102037,1502259,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sass-2009,234.17,1,0
SOLA09B,"Solaia, Toscana",2009,Antinori,Red,Tuscany,Toscana,GBP,IB,6,75,1095388,1502248,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sola-2009,271.67,1,0
SASS16B,"Sassicaia, Tenuta San Guido, Bolgheri",2016,Tenuta San Guido,Red,Tuscany,Bolgheri,GBP,IB,6,75,1102037,1502296,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sass-2016,303.33,1,0
SOLA16B,"Solaia, Toscana",2016,Antinori,Red,Tuscany,Toscana,GBP,IB,6,75,1095388,1502257,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sola-2016,305.83,1,0
DYQU09B,"Chateau d'Yquem Premier Cru Superieur, Sauternes",2009,Chateau d'Yquem,White,Bordeaux,Sauternes,GBP,IB,6,75,1017757,1396541,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/dyqu-2009,340.0,1,0
LANG12B,"Chateau Angelus, Saint-Emilion Grand Cru",2012,Chateau Angelus,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1006045,1396554,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lang-2012,391.67,1,0
CHEV16B,"Chateau Cheval Blanc, Saint-Emilion Grand Cru",2016,Chateau Cheval Blanc,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1008108,1396787,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/chev-2016,518.33,1,0
POGIB12B,"Il Poggione, Brunello di Montalcino",2012,Il Poggione,Red,Tuscany,Brunello di Montalcino,GBP,IB,6,75,1103180,925185,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/pogib-2012,26.67,1,0
DUHA18B,"Chateau Duhart-Milon 4eme Cru Classe, Pauillac",2018,Chateau Duhart-Milon,Red,Bordeaux,Pauillac,GBP,IB,6,75,1009482,1396522,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/duha-2018,50.0,1,0
CLER18B,"Chateau Clerc Milon 5eme Cru Classe, Pauillac",2018,Chateau Clerc Milon,Red,Bordeaux,Pauillac,GBP,IB,6,75,1008212,1396901,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/cler-2018,56.67,1,0
SMI19B,"Chateau Smith Haut Lafitte, Rouge Cru Classe, Pessac-Leognan",2019,Chateau Smith Haut Lafitte,Red,Bordeaux,Pessac-Leognan,GBP,IB,6,75,1015261,1396794,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/smi-2019,64.17,1,0
PONT18B,"Chateau Pontet-Canet 5eme Cru Classe, Pauillac",2018,Chateau Pontet-Canet,Red,Bordeaux,Pauillac,GBP,IB,6,75,1014307,1396776,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/pont-2018,68.33,1,0
BEYC18B,"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2018,Chateau Beychevelle,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1007101,1396545,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/beyc-2018,68.33,1,0
SMI20B,"Chateau Smith Haut Lafitte, Rouge Cru Classe, Pessac-Leognan",2020,Chateau Smith Haut Lafitte,Red,Bordeaux,Pessac-Leognan,GBP,IB,6,75,1015261,1396712,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/smi-2020,75.83,1,0
ANTG2021BTL,"Guado Al Tasso, Bolgheri",2021,Antinori (Guado al Tasso),Red,Tuscany,Bolgheri,GBP,IB,6,75,1095362,2006361,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/antg-2021,80.0,5,0
GIABF15B,"Bruno Giacosa, Barolo, Falletto",2015,Bruno Giacosa,Red,Piedmont,Barolo,GBP,IB,6,75,1100017,922119,Wine,https://bordeauxindex.com/fine-wine/italy/piedmont/giabf-2015,99.33,1,0
CANO22B,"Chateau Canon Premier Grand Cru Classe B, Saint-Emilion Grand Cru",2022,Chateau Canon,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1007521,917818,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/cano-2022,100.83,1,0
JABH12B,"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2012,Paul Jaboulet Aine,Red,Rhone,Hermitage,GBP,IB,6,75,1113563,1502219,Wine,https://bordeauxindex.com/fine-wine/france/rhone/jabh-2012,108.33,1,0
GIABR15B,"Bruno Giacosa, Barolo, Falletto Vigna Le Rocche",2015,Bruno Giacosa,Red,Piedmont,Barolo,GBP,IB,6,75,1100046,919478,Wine,https://bordeauxindex.com/fine-wine/italy/piedmont/giabr-2015,114.67,1,0
ORNE2022BTL,Ornellaia Tenuta dell'Ornellaia,2022,Ornellaia,Red,Tuscany,None,GBP,IB,6,75,1102024,2196044,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/orne-2022,136.67,1,0
LAMI18B,"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2018,Chateau La Mission Haut-Brion,Red,Bordeaux,Pessac-Leognan,GBP,IB,6,75,1013179,1396873,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lami-2018,143.33,1,0
ORNE11B,Ornellaia Tenuta dell'Ornellaia,2011,Ornellaia,Red,Tuscany,None,GBP,IB,6,75,1102024,1502295,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/orne-2011,145.0,1,0
LAMI20B,"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2020,Chateau La Mission Haut-Brion,Red,Bordeaux,Pessac-Leognan,GBP,IB,6,75,1013179,1396825,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lami-2020,172.5,1,0
ORNE16B,Ornellaia Tenuta dell'Ornellaia,2016,Ornellaia,Red,Tuscany,None,GBP,IB,6,75,1102024,1502305,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/orne-2016,175.0,1,0
